"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 28 09:53:42 CST 2021","Tue Dec 28 09:53:42 CST 2021","106","TestCase","test_05_add_dailyGoals","","","","查看任务首页的每日目标完成进度","学生端再次查看任务首页，验证提交运动记录后是否跳绳、跑步、卡路里全部完成进度都是100%"
"passed","Tue Dec 28 09:53:39 CST 2021","Tue Dec 28 09:53:39 CST 2021","65","TestCase","test_04_join_class","","","","学生端查询我的主页","查询学生用户我的主页接口，并且提取userId"
"passed","Tue Dec 28 09:53:41 CST 2021","Tue Dec 28 09:53:41 CST 2021","56","TestCase","test_05_add_dailyGoals","","","","学生端我的--任务记录","学生端查看我的->任务记录，每日目标为跳绳的任务"
"passed","Tue Dec 28 09:53:50 CST 2021","Tue Dec 28 09:53:50 CST 2021","93","TestCase","test_08_sports","","","","运动消耗","运动结束，运动消耗页面"
"passed","Tue Dec 28 09:53:46 CST 2021","Tue Dec 28 09:53:47 CST 2021","66","TestCase","test_08_sports","","","","跑步50m--预计消耗","获取运动首页的运动列表"
"passed","Tue Dec 28 09:53:46 CST 2021","Tue Dec 28 09:53:46 CST 2021","68","TestCase","test_08_sports","","","","跳绳1分钟--预计消耗","获取运动首页的运动列表"
"passed","Tue Dec 28 09:53:38 CST 2021","Tue Dec 28 09:53:38 CST 2021","99","TestCase","test_01_login","","","","用户登入接口-v.12  老师","测试老师角色用户登录，采用正向和反向场景来针对手机号和用户类型id进行组合后验证"
"passed","Tue Dec 28 09:53:40 CST 2021","Tue Dec 28 09:53:40 CST 2021","88","TestCase","test_05_add_dailyGoals","","","","学生端创建每日目标：跑步","学生端创建每日目标，内容为：跳绳100个"
"passed","Tue Dec 28 09:53:46 CST 2021","Tue Dec 28 09:53:46 CST 2021","76","TestCase","test_08_sports","","","","跳绳3分钟--预计消耗","获取运动首页的运动列表"
"passed","Tue Dec 28 09:53:48 CST 2021","Tue Dec 28 09:53:48 CST 2021","189","TestCase","test_08_sports","","","","跑步2分钟--预计消耗","获取运动首页的运动列表"
"passed","Tue Dec 28 09:53:44 CST 2021","Tue Dec 28 09:53:44 CST 2021","74","TestCase","test_07_homework","","","","老师端查看作业模板","老师端创建作业"
"passed","Tue Dec 28 09:53:48 CST 2021","Tue Dec 28 09:53:49 CST 2021","224","TestCase","test_08_sports","","","","提交运动：计数跳绳200个","提交运动记录，包括计时、计数、自由模式的跳绳、跑步"
"passed","Tue Dec 28 09:53:41 CST 2021","Tue Dec 28 09:53:41 CST 2021","132","TestCase","test_05_add_dailyGoals","","","","学生端提交运动：计数跳绳","学生端提交运动记录，执行每日目标的任务"
